"transaction_id","customer_id","amount","payment_method","device_type","ip_country","billing_country","failed_attempts","account_age_days","previous_order_count","avg_order_value","is_new_customer","is_fraud"
"MLTXN-000078","CUST-ML-0499","3183","CARD","Mobile","IN","IN","0","189","8","4080","false","1"
"MLTXN-000079","CUST-ML-0180","966","UPI","Mobile","SG","SG","0","375","7","2529","false","0"
"MLTXN-000080","CUST-ML-0007","2068","CARD","Tablet","AE","AE","0","793","17","1788","false","0"
"MLTXN-000081","CUST-ML-0189","646","UPI","Mobile","CA","IN","0","14","1","778","true","0"
"MLTXN-000082","CUST-ML-0581","1363","UPI","Mobile","AU","AU","0","620","22","947","false","0"
"MLTXN-000083","CUST-ML-0063","5403","NETBANKING","Mobile","IN","IN","6","15","2","2947","false","1"
"MLTXN-000084","CUST-ML-0485","1864","CARD","Desktop","AE","IN","0","134","3","1442","false","1"
"MLTXN-000085","CUST-ML-0227","7360","UPI","Tablet","IN","IN","0","646","15","4077","false","0"
"MLTXN-000086","CUST-ML-0412","1311","UPI","Desktop","IN","IN","1","590","12","868","false","0"
"MLTXN-000087","CUST-ML-0562","1862","UPI","Mobile","AE","AE","0","561","6","4355","false","0"
"MLTXN-000088","CUST-ML-0562","11970","CARD","Mobile","AE","AE","0","561","7","5106","false","0"
"MLTXN-000089","CUST-ML-0237","13169","CARD","Desktop","SG","SG","0","504","17","3197","false","0"
"MLTXN-000090","CUST-ML-0018","5206","CARD","Desktop","AU","AU","0","344","8","11611","false","0"
"MLTXN-000091","CUST-ML-0592","3694","NETBANKING","Desktop","CA","CA","0","860","30","3523","false","0"
"MLTXN-000092","CUST-ML-0455","694","UPI","Desktop","IN","IN","0","1125","21","738","false","0"
"MLTXN-000093","CUST-ML-0214","2295","WALLET","Mobile","US","US","0","16","0","1623","false","0"
"MLTXN-000094","CUST-ML-0440","672","UPI","Mobile","SG","SG","0","204","3","1328","false","0"
"MLTXN-000095","CUST-ML-0098","3312","CARD","Mobile","IN","IN","1","257","5","5804","false","0"
"MLTXN-000096","CUST-ML-0272","2935","WALLET","Mobile","US","US","0","11","2","3310","false","1"
"MLTXN-000097","CUST-ML-0144","566","WALLET","Mobile","GB","GB","0","973","35","765","false","0"
"MLTXN-000098","CUST-ML-0305","1114","WALLET","Mobile","US","US","6","21","1","779","false","0"
"MLTXN-000099","CUST-ML-0452","819","UPI","Mobile","IN","IN","0","498","10","905","false","0"
"MLTXN-000100","CUST-ML-0184","3637","UPI","Mobile","IN","IN","0","18","1","4670","false","0"
"MLTXN-000101","CUST-ML-0424","5378","CARD","Mobile","IN","IN","0","957","34","3859","false","0"
"MLTXN-000102","CUST-ML-0356","6861","NETBANKING","Mobile","US","US","1","551","19","3063","false","0"
"MLTXN-000103","CUST-ML-0296","1160","UPI","Mobile","IN","IN","0","373","9","3678","false","0"
"MLTXN-000104","CUST-ML-0295","16811","CARD","Mobile","IN","IN","1","880","13","1040","false","0"
"MLTXN-000105","CUST-ML-0293","3499","NETBANKING","Mobile","AU","AU","0","1","0","1757","true","0"
"MLTXN-000106","CUST-ML-0452","511","NETBANKING","Mobile","IN","IN","0","498","11","937","false","0"
"MLTXN-000107","CUST-ML-0421","2557","NETBANKING","Mobile","IN","IN","0","955","26","1259","false","0"
"MLTXN-000108","CUST-ML-0386","1190","CARD","Tablet","US","US","0","56","1","1898","false","1"
"MLTXN-000109","CUST-ML-0108","3782","WALLET","Mobile","IN","IN","0","500","5","1690","false","0"
"MLTXN-000110","CUST-ML-0190","5453","UPI","Desktop","IN","IN","0","173","6","1577","false","0"
"MLTXN-000111","CUST-ML-0010","861","BANK_TRANSFER","Mobile","US","US","0","20","2","651","false","0"
"MLTXN-000112","CUST-ML-0071","3647","WALLET","Desktop","IN","IN","0","21","1","2519","false","0"
"MLTXN-000113","CUST-ML-0419","2364","CARD","Desktop","IN","IN","0","457","14","1423","false","0"
"MLTXN-000114","CUST-ML-0271","10207","CARD","Mobile","IN","IN","0","9","0","4881","true","0"
"MLTXN-000115","CUST-ML-0534","4491","NETBANKING","Mobile","IN","IN","0","21","1","3264","false","1"
"MLTXN-000116","CUST-ML-0455","412","CARD","Mobile","IN","IN","0","1125","22","565","false","0"
"MLTXN-000117","CUST-ML-0012","3948","CARD","Desktop","IN","IN","1","10","2","1867","false","0"
"MLTXN-000118","CUST-ML-0493","2609","CARD","Mobile","IN","IN","1","13","1","1929","true","0"
"MLTXN-000119","CUST-ML-0413","2339","UPI","Mobile","US","US","0","6","0","1349","true","0"
"MLTXN-000120","CUST-ML-0151","4128","CARD","Mobile","IN","IN","0","868","19","2720","false","0"
"MLTXN-000121","CUST-ML-0358","613","UPI","Mobile","GB","GB","0","455","8","1222","false","0"
"MLTXN-000122","CUST-ML-0384","410","UPI","Desktop","IN","IN","0","18","2","506","false","0"
"MLTXN-000123","CUST-ML-0205","6333","UPI","Desktop","IN","IN","0","573","10","2306","false","1"
"MLTXN-000124","CUST-ML-0076","56940","NETBANKING","Mobile","IN","IN","0","196","4","2141","false","0"
"MLTXN-000125","CUST-ML-0163","16274","CARD","Desktop","IN","IN","0","921","11","936","false","0"
"MLTXN-000126","CUST-ML-0462","1062","NETBANKING","Desktop","IN","IN","0","580","20","1352","false","1"
"MLTXN-000127","CUST-ML-0308","888","UPI","Mobile","US","US","0","415","12","2523","false","0"
"MLTXN-000128","CUST-ML-0256","2175","UPI","Desktop","IN","IN","0","1020","12","2176","false","0"
"MLTXN-000129","CUST-ML-0372","1434","BANK_TRANSFER","Mobile","IN","IN","0","431","7","2625","false","0"
"MLTXN-000130","CUST-ML-0298","1644","UPI","Mobile","IN","IN","1","440","14","2396","false","0"
"MLTXN-000131","CUST-ML-0093","4841","NETBANKING","Mobile","IN","IN","1","664","7","1907","false","0"
"MLTXN-000132","CUST-ML-0277","7286","UPI","Desktop","SG","SG","0","731","8","2977","false","0"
"MLTXN-000133","CUST-ML-0590","1160","CARD","Mobile","IN","IN","1","237","3","1739","false","0"
"MLTXN-000134","CUST-ML-0247","2612","NETBANKING","Desktop","IN","IN","4","167","2","2382","false","0"
"MLTXN-000135","CUST-ML-0132","1010","UPI","Mobile","IN","IN","0","609","14","1217","false","0"
"MLTXN-000136","CUST-ML-0105","3347","CARD","Mobile","IN","IN","0","116","2","1828","false","1"
"MLTXN-000137","CUST-ML-0191","491","UPI","Desktop","IN","IN","0","60","2","745","false","0"
"MLTXN-000138","CUST-ML-0391","627","UPI","Mobile","IN","IN","0","446","8","795","false","0"
"MLTXN-000139","CUST-ML-0534","3924","UPI","Mobile","IN","IN","0","21","2","4625","false","0"
"MLTXN-000140","CUST-ML-0328","912","CARD","Desktop","US","US","1","21","1","932","false","1"
"MLTXN-000141","CUST-ML-0351","228","CARD","Mobile","IN","US","0","794","10","583","false","0"
"MLTXN-000142","CUST-ML-0268","896","UPI","Desktop","IN","IN","0","489","8","659","false","0"
"MLTXN-000143","CUST-ML-0220","1647","UPI","Desktop","SG","SG","4","475","8","931","false","0"
"MLTXN-000144","CUST-ML-0141","2569","CARD","Mobile","CA","CA","2","223","6","2353","false","0"
"MLTXN-000145","CUST-ML-0134","658","CARD","Mobile","IN","IN","1","181","6","953","false","0"
"MLTXN-000146","CUST-ML-0357","1614","UPI","Mobile","IN","IN","0","296","3","793","false","0"
"MLTXN-000147","CUST-ML-0372","1797","UPI","Mobile","IN","IN","0","431","8","2133","false","0"
"MLTXN-000148","CUST-ML-0319","7200","WALLET","Mobile","DE","DE","0","209","6","4613","false","0"
"MLTXN-000149","CUST-ML-0216","3879","UPI","Tablet","AE","AE","1","546","7","1955","false","0"
"MLTXN-000150","CUST-ML-0299","1777","UPI","Desktop","US","US","0","354","9","1579","false","0"
"MLTXN-000151","CUST-ML-0558","6414","NETBANKING","Mobile","AU","AU","0","505","8","2601","false","1"
"MLTXN-000152","CUST-ML-0197","2394","CARD","Mobile","IN","IN","1","13","0","2008","true","1"
"MLTXN-000153","CUST-ML-0305","620","WALLET","Mobile","US","US","0","21","2","928","false","0"
"MLTXN-000154","CUST-ML-0338","472","BANK_TRANSFER","Desktop","GB","GB","0","632","22","594","false","0"
"MLTXN-000155","CUST-ML-0342","6773","CARD","Mobile","AE","AE","2","20","2","1002","false","0"
"MLTXN-000156","CUST-ML-0502","10710","UPI","Desktop","GB","GB","0","754","19","3272","false","0"
"MLTXN-000157","CUST-ML-0268","1335","NETBANKING","Mobile","IN","IN","1","489","9","1050","false","0"
"MLTXN-000158","CUST-ML-0113","1001","WALLET","Tablet","IN","IN","1","551","20","1989","false","1"
"MLTXN-000159","CUST-ML-0387","2193","UPI","Mobile","IN","IN","1","638","10","2525","false","0"
"MLTXN-000160","CUST-ML-0410","310","CARD","Mobile","AE","AE","1","21","1","1001","false","0"
"MLTXN-000161","CUST-ML-0529","2645","UPI","Mobile","DE","DE","0","542","8","1048","false","0"
"MLTXN-000162","CUST-ML-0564","4450","BANK_TRANSFER","Mobile","AU","AU","0","64","3","2732","false","0"
"MLTXN-000163","CUST-ML-0073","208","NETBANKING","Mobile","IN","IN","1","637","8","1249","false","0"
"MLTXN-000164","CUST-ML-0200","493","UPI","Desktop","AE","AE","0","21","1","872","false","0"
"MLTXN-000165","CUST-ML-0167","928","CARD","Mobile","IN","IN","0","5","0","1555","true","0"
"MLTXN-000166","CUST-ML-0366","1323","UPI","Mobile","IN","IN","4","860","13","1020","false","0"
"MLTXN-000167","CUST-ML-0179","6262","CARD","Mobile","IN","IN","1","541","13","7073","false","0"
"MLTXN-000168","CUST-ML-0200","1456","UPI","Desktop","AE","AE","0","21","2","1130","false","0"
"MLTXN-000169","CUST-ML-0574","1775","WALLET","Mobile","IN","IN","0","352","5","1670","false","0"
"MLTXN-000170","CUST-ML-0443","8967","UPI","Mobile","IN","IN","0","4","1","1318","true","0"
"MLTXN-000171","CUST-ML-0229","2259","UPI","Mobile","IN","IN","0","14","2","1205","false","0"
"MLTXN-000172","CUST-ML-0277","8595","CARD","Mobile","SG","SG","6","731","9","4539","false","0"
"MLTXN-000173","CUST-ML-0142","1337","WALLET","Mobile","AU","AU","0","1084","16","952","false","0"
"MLTXN-000174","CUST-ML-0318","1499","WALLET","Mobile","IN","IN","1","750","24","3715","false","0"
"MLTXN-000175","CUST-ML-0042","1949","CARD","Mobile","US","US","0","1097","30","3803","false","1"
"MLTXN-000176","CUST-ML-0197","2545","CARD","Mobile","IN","IN","0","13","1","2149","true","0"
"MLTXN-000177","CUST-ML-0422","3147","CARD","Mobile","AE","IN","0","21","1","8152","false","0"
"MLTXN-000178","CUST-ML-0119","1808","NETBANKING","Mobile","IN","IN","0","482","4","2035","false","0"
"MLTXN-000179","CUST-ML-0013","162","CARD","Mobile","CA","CA","0","418","13","387","false","0"
"MLTXN-000180","CUST-ML-0242","400","NETBANKING","Desktop","US","US","1","21","1","399","false","1"
"MLTXN-000181","CUST-ML-0450","513","CARD","Mobile","IN","IN","2","4","2","692","false","0"
"MLTXN-000182","CUST-ML-0386","1088","UPI","Tablet","US","US","0","56","2","1624","false","0"
"MLTXN-000183","CUST-ML-0134","1447","CARD","Mobile","IN","IN","0","181","7","1045","false","0"
"MLTXN-000184","CUST-ML-0589","1439","UPI","Tablet","IN","IN","0","1066","34","4495","false","0"
"MLTXN-000185","CUST-ML-0549","1102","UPI","Mobile","IN","IN","1","20","1","346","false","0"
"MLTXN-000186","CUST-ML-0183","4050","UPI","Mobile","IN","IN","1","8","1","2931","true","1"
"MLTXN-000187","CUST-ML-0305","1589","WALLET","Mobile","US","US","0","21","3","919","false","0"
"MLTXN-000188","CUST-ML-0114","2123","WALLET","Desktop","IN","IN","0","4","0","788","true","0"
"MLTXN-000189","CUST-ML-0129","3728","NETBANKING","Mobile","DE","DE","0","1094","14","3323","false","0"
"MLTXN-000190","CUST-ML-0439","2572","NETBANKING","Mobile","IN","IN","0","348","10","870","false","0"
"MLTXN-000191","CUST-ML-0244","994","UPI","Tablet","IN","IN","0","515","19","1135","false","0"
"MLTXN-000192","CUST-ML-0542","538","CARD","Desktop","US","US","1","400","4","370","false","1"
"MLTXN-000193","CUST-ML-0543","2262","NETBANKING","Mobile","IN","IN","0","317","9","1831","false","1"
"MLTXN-000194","CUST-ML-0250","1420","WALLET","Tablet","IN","IN","1","235","8","1956","false","0"
"MLTXN-000195","CUST-ML-0071","4433","WALLET","Desktop","IN","IN","0","21","2","2792","false","0"
"MLTXN-000196","CUST-ML-0489","1936","CARD","Mobile","IN","IN","0","8","2","2717","false","0"
"MLTXN-000197","CUST-ML-0191","245","UPI","Desktop","US","IN","0","60","3","798","false","0"
"MLTXN-000198","CUST-ML-0480","1505","CARD","Mobile","US","US","0","119","3","1516","false","0"
"MLTXN-000199","CUST-ML-0308","1424","UPI","Mobile","US","US","0","415","13","2209","false","0"
"MLTXN-000200","CUST-ML-0592","5410","NETBANKING","Desktop","CA","CA","0","860","31","3809","false","1"
"MLTXN-000201","CUST-ML-0577","3633","CARD","Mobile","IN","IN","0","555","13","2927","false","1"
"MLTXN-000202","CUST-ML-0495","779","UPI","Mobile","IN","IN","0","363","5","1134","false","0"
"MLTXN-000203","CUST-ML-0262","703","NETBANKING","Mobile","IN","IN","0","19","2","580","false","0"
"MLTXN-000204","CUST-ML-0041","444","UPI","Tablet","IN","IN","1","412","4","735","false","0"
"MLTXN-000205","CUST-ML-0017","913","CARD","Mobile","IN","IN","1","521","7","916","false","0"
"MLTXN-000206","CUST-ML-0258","523","WALLET","Mobile","IN","IN","0","72","1","1084","false","0"
"MLTXN-000207","CUST-ML-0312","3057","UPI","Mobile","US","GB","0","2","0","1844","true","0"
"MLTXN-000208","CUST-ML-0069","4280","CARD","Desktop","IN","GB","0","455","10","3370","false","0"
"MLTXN-000209","CUST-ML-0336","578","BANK_TRANSFER","Mobile","IN","IN","0","504","12","2430","false","0"
"MLTXN-000210","CUST-ML-0409","2319","CARD","Mobile","IN","IN","1","191","2","1148","false","0"
"MLTXN-000211","CUST-ML-0250","1426","UPI","Tablet","IN","IN","0","235","9","1646","false","0"
"MLTXN-000212","CUST-ML-0534","5492","UPI","Mobile","IN","IN","1","21","3","4087","false","0"
"MLTXN-000213","CUST-ML-0066","545","CARD","Desktop","IN","IN","0","216","9","485","false","0"
"MLTXN-000214","CUST-ML-0418","3240","CARD","Mobile","AE","AE","0","386","12","1936","false","0"
"MLTXN-000215","CUST-ML-0319","19115","WALLET","Mobile","IN","DE","2","209","7","4738","false","0"
"MLTXN-000216","CUST-ML-0079","12063","NETBANKING","Mobile","IN","IN","1","1197","21","3821","false","1"
"MLTXN-000217","CUST-ML-0269","1398","UPI","Mobile","GB","GB","0","1053","37","1210","false","0"
"MLTXN-000218","CUST-ML-0351","703","CARD","Mobile","US","US","0","794","11","607","false","0"
"MLTXN-000219","CUST-ML-0036","538","UPI","Desktop","IN","IN","0","947","9","448","false","0"
"MLTXN-000220","CUST-ML-0484","2768","CARD","Mobile","IN","IN","0","264","9","1881","false","0"
"MLTXN-000221","CUST-ML-0044","4391","CARD","Desktop","IN","IN","0","427","11","3410","false","1"
"MLTXN-000222","CUST-ML-0394","3816","UPI","Desktop","IN","IN","0","455","16","3034","false","0"
"MLTXN-000223","CUST-ML-0523","1544","UPI","Mobile","IN","IN","0","21","1","2110","false","0"
"MLTXN-000224","CUST-ML-0334","243","CARD","Mobile","IN","IN","0","462","10","371","false","1"
"MLTXN-000225","CUST-ML-0270","10497","UPI","Mobile","GB","GB","0","21","1","11387","false","0"
"MLTXN-000226","CUST-ML-0544","1333","NETBANKING","Mobile","IN","IN","0","20","0","1239","false","1"
"MLTXN-000227","CUST-ML-0374","1505","UPI","Desktop","IN","IN","0","630","20","2026","false","0"
"MLTXN-000228","CUST-ML-0380","11291","UPI","Desktop","IN","IN","1","13","1","12611","true","0"
"MLTXN-000229","CUST-ML-0123","362","CARD","Mobile","IN","IN","1","1189","10","1121","false","0"
"MLTXN-000230","CUST-ML-0487","1253","CARD","Desktop","IN","IN","1","329","10","1332","false","0"
"MLTXN-000231","CUST-ML-0267","397","CARD","Desktop","IN","IN","1","377","6","1026","false","0"
"MLTXN-000232","CUST-ML-0202","11262","WALLET","Desktop","IN","IN","1","293","10","7622","false","0"
"MLTXN-000233","CUST-ML-0159","1898","UPI","Mobile","SG","SG","0","394","7","1814","false","0"
"MLTXN-000234","CUST-ML-0408","977","UPI","Tablet","IN","IN","0","11","2","1085","false","0"
"MLTXN-000235","CUST-ML-0137","569","CARD","Desktop","GB","IN","0","575","14","1432","false","0"
"MLTXN-000236","CUST-ML-0491","762","WALLET","Mobile","DE","DE","0","460","10","1043","false","0"
"MLTXN-000237","CUST-ML-0190","1391","UPI","Mobile","IN","IN","0","173","7","2335","false","0"
"MLTXN-000238","CUST-ML-0124","4985","NETBANKING","Desktop","IN","IN","1","54","1","1490","false","1"
"MLTXN-000239","CUST-ML-0352","3318","CARD","Desktop","IN","IN","0","3","1","1717","true","0"
"MLTXN-000240","CUST-ML-0073","2055","NETBANKING","Mobile","IN","IN","1","637","9","1165","false","0"
"MLTXN-000241","CUST-ML-0524","1495","CARD","Mobile","IN","IN","6","653","24","2186","false","1"
"MLTXN-000242","CUST-ML-0078","2121","WALLET","Desktop","IN","IN","1","559","14","1170","false","0"
"MLTXN-000243","CUST-ML-0195","7397","UPI","Mobile","SA","SA","0","21","1","6224","false","0"
"MLTXN-000244","CUST-ML-0504","10470","CARD","Desktop","IN","IN","0","193","5","6672","false","0"
"MLTXN-000245","CUST-ML-0528","483","UPI","Desktop","IN","IN","2","594","19","414","false","0"
"MLTXN-000246","CUST-ML-0562","4609","CARD","Mobile","AE","AE","2","561","8","4703","false","0"
"MLTXN-000247","CUST-ML-0040","679","UPI","Mobile","IN","IN","0","3","2","1768","false","0"
"MLTXN-000248","CUST-ML-0409","1000","CARD","Mobile","IN","IN","0","191","3","821","false","1"
"MLTXN-000249","CUST-ML-0560","1224","UPI","Tablet","IN","US","2","10","1","1109","true","0"
"MLTXN-000250","CUST-ML-0387","1389","UPI","Mobile","IN","IN","0","638","11","2099","false","0"
"MLTXN-000251","CUST-ML-0290","5236","CARD","Mobile","US","US","0","526","8","2580","false","0"
"MLTXN-000252","CUST-ML-0117","1213","WALLET","Mobile","IN","IN","0","235","9","833","false","0"
"MLTXN-000253","CUST-ML-0333","1699","NETBANKING","Desktop","IN","IN","0","18","0","1555","false","0"
"MLTXN-000254","CUST-ML-0421","4250","UPI","Mobile","IN","IN","0","955","27","1148","false","0"
"MLTXN-000255","CUST-ML-0378","742","BANK_TRANSFER","Mobile","CA","CA","0","460","15","807","false","0"
"MLTXN-000256","CUST-ML-0584","511","CARD","Mobile","US","IN","1","755","23","506","false","1"
"MLTXN-000257","CUST-ML-0094","13316","UPI","Mobile","IN","IN","0","4","2","4595","false","0"
"MLTXN-000258","CUST-ML-0204","17477","UPI","Desktop","IN","IN","0","384","10","2422","false","1"
"MLTXN-000259","CUST-ML-0361","753","UPI","Desktop","IN","IN","0","1322","17","621","false","0"
"MLTXN-000260","CUST-ML-0431","629","UPI","Mobile","IN","IN","0","438","11","2493","false","0"
"MLTXN-000261","CUST-ML-0460","785","CARD","Mobile","IN","IN","0","780","15","832","false","0"
"MLTXN-000262","CUST-ML-0384","587","UPI","Desktop","IN","IN","0","18","3","432","false","0"
"MLTXN-000263","CUST-ML-0014","4100","CARD","Mobile","IN","IN","0","619","19","8785","false","0"
"MLTXN-000264","CUST-ML-0459","3361","CARD","Mobile","AE","IN","1","359","6","2126","false","0"
"MLTXN-000265","CUST-ML-0599","2363","CARD","Mobile","IN","IN","0","964","27","1048","false","0"
"MLTXN-000266","CUST-ML-0077","11584","CARD","Mobile","IN","IN","2","228","8","2260","false","1"
